Entry	Status	yourlist:M201904245C475328CEF75220C360D524E9D456CE077D18J
P15436	reviewed	YDL102W
P43123	reviewed	YDL103C
P43122	reviewed	YDL104C
P43124	reviewed	YDL105W
P07269	reviewed	YDL106C
P40990	reviewed	YDL107W
P06242	reviewed	YDL108W
Q12103	reviewed	YDL109C
Q12513	reviewed	YDL110C
Q12277	reviewed	YDL111C
Q07527	reviewed	YDL112W
Q07528	reviewed	YDL113C
Q07530	reviewed	YDL114W
Q07532	reviewed	YDL115C
P52891	reviewed	YDL116W
Q07533	reviewed	YDL117W
Q07534	reviewed	YDL119C
Q07540	reviewed	YDL120W
Q07541	reviewed	YDL121C
P25037	reviewed	YDL122W
Q07549	reviewed	YDL123W
Q07551	reviewed	YDL124W
Q04344	reviewed	YDL125C
P25694	reviewed	YDL126C
P25693	reviewed	YDL127W
Q99385	reviewed	YDL128W
Q07555	reviewed	YDL129W
P10622	reviewed	YDL130W
P01098	reviewed	YDL130W-A
Q12122	reviewed	YDL131W
Q12018	reviewed	YDL132W
Q12516	reviewed	YDL133W
P23594	reviewed	YDL134C
Q12434	reviewed	YDL135C
P19146	reviewed	YDL137W
Q12300	reviewed	YDL138W
Q12334	reviewed	YDL139C
P04050	reviewed	YDL140C
P48445	reviewed	YDL141W
Q07560	reviewed	YDL142C
P39078	reviewed	YDL143W
Q07589	reviewed	YDL144C
P53622	reviewed	YDL145C
Q12342	reviewed	YDL146W
Q12250	reviewed	YDL147W
Q99207	reviewed	YDL148C
Q12142	reviewed	YDL149W
P25441	reviewed	YDL150W
Q12136	reviewed	YDL153C
Q12175	reviewed	YDL154W
P24870	reviewed	YDL155W
Q12510	reviewed	YDL156W
Q12082	reviewed	YDL157C
P06784	reviewed	YDL159W
Q3E774	reviewed	YDL159W-A
P39517	reviewed	YDL160C
Q3E829	reviewed	YDL160C-A
Q12518	reviewed	YDL161W
P04819	reviewed	YDL164C
P06100	reviewed	YDL165W
Q12055	reviewed	YDL166C
P32770	reviewed	YDL167C
P32771	reviewed	YDL168W
P32772	reviewed	YDL169C
P26370	reviewed	YDL170W
Q12680	reviewed	YDL171C
Q12515	reviewed	YDL173W
P32891	reviewed	YDL174C
Q12476	reviewed	YDL175C
Q12027	reviewed	YDL176W
Q12257	reviewed	YDL177C
P46681	reviewed	YDL178W
Q12477	reviewed	YDL179W
Q12301	reviewed	YDL180W
P01097	reviewed	YDL181W
P48570	reviewed	YDL182W
P48569	reviewed	YDL183C
P0CX86	reviewed	YDL133C-A,YDL184C
P0CX87	reviewed	YDL133C-A,YDL184C
P17255	reviewed	YDL185W
P48568	reviewed	YDL186W
P23595	reviewed	YDL188C
Q05672	reviewed	YDL189W
P54860	reviewed	YDL190C
P0CX84	reviewed	YDL136W,YDL191W
P0CX85	reviewed	YDL136W,YDL191W
P11076	reviewed	YDL192W
Q12063	reviewed	YDL193W
P10870	reviewed	YDL194W
P38968	reviewed	YDL195W
P32448	reviewed	YDL197C
P38988	reviewed	YDL198C
Q12407	reviewed	YDL199C
P26188	reviewed	YDL200C
Q12009	reviewed	YDL201W
P36521	reviewed	YDL202W
Q07622	reviewed	YDL203C
Q12443	reviewed	YDL204W
P28789	reviewed	YDL205C
Q12424	reviewed	YDL206W
Q12315	reviewed	YDL207W
P32495	reviewed	YDL208W
Q12046	reviewed	YDL209C
P32837	reviewed	YDL210W
Q12121	reviewed	YDL211C
Q02774	reviewed	YDL212W
Q07623	reviewed	YDL213C
Q12310	reviewed	YDL214C
P33327	reviewed	YDL215C
Q12468	reviewed	YDL216C
Q12328	reviewed	YDL217C
Q07629	reviewed	YDL218W
Q07648	reviewed	YDL219W
P32797	reviewed	YDL220C
Q07651	reviewed	YDL222C
Q07653	reviewed	YDL223C
Q07655	reviewed	YDL224C
Q07657	reviewed	YDL225W
P35197	reviewed	YDL226C
P09932	reviewed	YDL227C
P11484	reviewed	YDL229W
P25044	reviewed	YDL230W
Q07660	reviewed	YDL231C
Q99380	reviewed	YDL232W
Q07684	reviewed	YDL233W
P48365	reviewed	YDL234C
Q07688	reviewed	YDL235C
P19881	reviewed	YDL236W
Q07716	reviewed	YDL237W
Q07729	reviewed	YDL238C
Q07732	reviewed	YDL239C
P35688	reviewed	YDL240W
Q07738	reviewed	YDL241W
Q07747	reviewed	YDL243C
Q07748	reviewed	YDL244W
P54854	reviewed	YDL245C
